timestamp,precision,recall,pred_time,color_threshold,depth_threshold,radius
1102_105311,0.57131833,0.09010469,0.78497146,0.25,0.10,0.04
1102_105821,0.57105814,0.09006556,0.82746807,0.25,0.10,0.06
1102_110355,0.57105543,0.09010017,0.85261165,0.25,0.10,0.08
1102_110944,0.57153640,0.09022089,0.85638445,0.25,0.10,0.10
1102_111535,0.57154847,0.09024842,0.79944240,0.25,0.10,0.12
1102_112102,0.57150133,0.09023603,0.82185162,0.25,0.10,0.14
1102_112637,0.57150471,0.09023151,0.79540411,0.25,0.10,0.16
1102_113201,0.57151059,0.09022895,0.80284223,0.25,0.10,0.18
1102_113729,0.57147162,0.09022797,0.77499292,0.25,0.10,0.20
1102_114247,0.57147394,0.09022934,0.78488873,0.25,0.10,0.22
1102_114809,0.57150685,0.09023544,0.73564754,0.25,0.10,0.24
