timestamp,precision,recall,pred_time,color_threshold,depth_threshold,radius
1102_115251,0.56473800,0.08597314,0.80034643,0.15,0.05,0.10
1102_115748,0.56358569,0.08579893,0.79380262,0.15,0.06,0.10
1102_120242,0.56447057,0.08597471,0.79108070,0.15,0.07,0.10
1102_120735,0.56679302,0.08637837,0.78915897,0.15,0.08,0.10
1102_121228,0.56695857,0.08633315,0.78644368,0.15,0.09,0.10
1102_121719,0.56600863,0.08606574,0.78287354,0.15,0.10,0.10
1102_122209,0.56722653,0.08623621,0.78409228,0.15,0.11,0.10
1102_122700,0.56445095,0.08571635,0.77960618,0.15,0.12,0.10
1102_123149,0.56433476,0.08569826,0.77810441,0.15,0.13,0.10
1102_123637,0.56306650,0.08552327,0.77730799,0.15,0.14,0.10
1102_124125,0.56279639,0.08540412,0.77535070,0.15,0.15,0.10
1102_124613,0.56505676,0.08874074,0.74342046,0.20,0.05,0.10
1102_125048,0.56447171,0.08866917,0.73797103,0.20,0.06,0.10
1102_125522,0.56551435,0.08890256,0.73427694,0.20,0.07,0.10
1102_125954,0.56846465,0.08933060,0.72990576,0.20,0.08,0.10
1102_130425,0.56895634,0.08927732,0.72579929,0.20,0.09,0.10
1102_130854,0.56872762,0.08913083,0.72207479,0.20,0.10,0.10
1102_131322,0.57016128,0.08935675,0.71876438,0.20,0.11,0.10
1102_131748,0.56786756,0.08888093,0.71455176,0.20,0.12,0.10
1102_132213,0.56751988,0.08891043,0.71115723,0.20,0.13,0.10
1102_132637,0.56660949,0.08879186,0.70915008,0.20,0.14,0.10
1102_133100,0.56643079,0.08870339,0.70585751,0.20,0.15,0.10
1102_133522,0.56571504,0.08984142,0.70586765,0.25,0.05,0.10
1102_133943,0.56434256,0.08956320,0.69804873,0.25,0.06,0.10
1102_134402,0.56504156,0.08966780,0.69114038,0.25,0.07,0.10
1102_134819,0.56867535,0.09007048,0.68481683,0.25,0.08,0.10
1102_135233,0.57066400,0.09019022,0.67976351,0.25,0.09,0.10
1102_135645,0.57153569,0.09022089,0.67351889,0.25,0.10,0.10
1102_140055,0.57340843,0.09054256,0.66804425,0.25,0.11,0.10
1102_140503,0.57009042,0.08986776,0.66250810,0.25,0.12,0.10
1102_140909,0.57028463,0.08991161,0.65824741,0.25,0.13,0.10
1102_141313,0.56962489,0.08990414,0.65372127,0.25,0.14,0.10
