Backbone,Segmentation,precision,time (ms),size (MB)
ResNet18,FCN,0.85330822,11.06207108,121.4705342
ResNet34,,0.8736319,18.10889273,248.9763669
ResNet50,,0.87909195,31.44167626,292.0890322
ResNet101,,0.88270865,51.99723666,727.1458098
EfficientNet-b0,,0.75531194,19.11407582,163.0101994
EfficientNet-b1,,0.76582305,26.13010492,223.5699041
EfficientNet-b2,,0.81566929,26.33561937,251.3008598
EfficientNet-b3,,0.83852636,29.69056111,339.9663778
EfficientNet-b4,,0.86122191,36.01506603,551.0730879
ResNet18,PSPNet,0.87268461,12.63974327,220.0804507
ResNet34,,0.88224177,19.08617693,347.5784284
ResNet50,,0.88473492,29.77646605,661.6569871
ResNet101,,0.888289,53.13778453,1096.776287
EfficientNet-b0,,0.82271064,19.63960524,628.05661
EfficientNet-b1,,0.85942013,27.32175854,698.2436723
EfficientNet-b2,,0.86321204,30.23225074,785.9309807
EfficientNet-b3,,0.87253851,35.25308635,961.1571042
EfficientNet-b4,,0.87661209,36.57854117,1332.81268
ResNet18,BiSeNet,0.86544923,6.90058211,431.5206049
ResNet34,,0.87433912,9.80807043,666.4931188
ResNet50,,0.88450402,13.10169807,1230.127275
EfficientNet-b0,,0.80148563,20.6559296,243.8824386
EfficientNet-b1,,0.84112181,27.94872395,311.0101395
EfficientNet-b2,,0.83202262,28.35123869,369.0758379
EfficientNet-b3,,0.86805108,31.14544973,476.4200616
EfficientNet-b4,,0.87742806,37.41583642,736.7090908
